Wochennummer;Umsatz
1;4359337
2;12959365
3;13666774
4;13682189
5;13660672
6;11724354
7;14079763
8;14187561
9;13792445
10;12480892
11;14361332
12;14061482
13;13762196
14;13215244
15;14191160
16;14397004
17;14260975
18;14455766
19;14406957
20;14477608
21;14160985
22;13268727
23;13290073
24;14018905
25;13786495
26;13864803
27;12307374
28;12494027
29;13793134
30;13435557
31;12440322
32;11924677
33;12475893
34;12362433
35;11640216
36;12223680
37;13265422
38;14277289
39;14860121
40;12728070
41;13770871
42;13715382
43;13933188
44;13935824
45;12582333
46;13678177
47;13873845
48;11577146
49;13891728
50;14118883
